tourist_id,timestamp,latitude,longitude,speed_kmph,gps_accuracy_m
T000,2026-01-29 03:36:44.384525,26.912426989607077,75.78748047447631,19.36,8.06
T000,2026-01-29 03:41:44.384525,26.912016519002467,75.78795533458323,10.06,9.33
T000,2026-01-29 03:46:44.384525,26.91166347921191,75.78766338275021,17.32,6.91
T000,2026-01-29 03:51:44.384525,26.911784792743855,75.78740247986802,17.46,7.65
T000,2026-01-29 03:56:44.384525,26.91140943249515,75.78712436899897,6.56,7.68
T000,2026-01-29 04:01:44.384525,26.911550698661745,75.7871638879942,9.65,3.97
T000,2026-01-29 04:06:44.384525,26.911314770328243,75.78673592052368,9.98,4.15
T000,2026-01-29 04:11:44.384525,26.910894992205343,75.78654557029,19.83,4.6
T000,2026-01-29 04:16:44.384525,26.910981383298637,75.78649289816515,19.87,9.59
T000,2026-01-29 04:21:44.384525,26.910731340783023,75.78614536716057,5.04,3.85
T000,2026-01-29 04:26:44.384525,26.910964490439266,75.78564882754279,9.77,9.15
T000,2026-01-29 04:31:44.384525,26.91091078563027,75.78586114703029,14.2,5.98
T000,2026-01-29 04:36:44.384525,26.910472176672133,75.78629797854175,17.51,4.03
T000,2026-01-29 04:41:44.384525,26.91001581594318,75.7860810172662,12.03,4.66
T000,2026-01-29 04:46:44.384525,26.91016120611272,75.7865709245132,7.05,3.25
T000,2026-01-29 04:51:44.384525,26.909960156301675,75.78684403331962,7.56,7.96
T000,2026-01-29 04:56:44.384525,26.91019300255688,75.78712972457683,5.49,8.15
T000,2026-01-29 05:01:44.384525,26.910627487744705,75.78712657419094,18.89,9.09
T000,2026-01-29 05:06:44.384525,26.910711529966544,75.78737071852942,10.54,9.43
T000,2026-01-29 05:11:44.384525,26.910332646742326,75.78718388951047,18.15,5.41
T000,2026-01-29 05:16:44.384525,26.910366513453404,75.78705078877202,16.21,5.7
T000,2026-01-29 05:21:44.384525,26.91010260871506,75.78749219167062,17.06,8.22
T000,2026-01-29 05:26:44.384525,26.910270901628643,75.78781900444504,18.35,5.33
T000,2026-01-29 05:31:44.384525,26.910622215542578,75.78768975436635,13.43,3.89
T000,2026-01-29 05:36:44.384525,26.9104006827428,75.78780825663843,19.64,9.59
T000,2026-01-29 05:41:44.384525,26.909992869111193,75.78734427242225,17.58,7.31
T000,2026-01-29 05:46:44.384525,26.909843530917794,75.7873802859165,17.33,8.0
T000,2026-01-29 05:51:44.384525,26.909377392332168,75.78697006400827,8.07,6.81
T000,2026-01-29 05:56:44.384525,26.90919473641824,75.78677480623922,8.47,5.31
T000,2026-01-29 06:01:44.384525,26.908796283642097,75.78705778190199,11.04,6.71
T000,2026-01-29 06:06:44.384525,26.90896860287686,75.78690355518683,14.1,5.8
T000,2026-01-29 06:11:44.384525,26.909369615620122,75.78720132041396,8.12,8.66
